 DEBUG root [2018-05-21 15:47:16,669] - Script::install_py_dlls(): PyInit_select
 DEBUG root [2018-05-21 15:47:16,669] - Script::install_py_dlls(): PyInit__ctypes
 DEBUG root [2018-05-21 15:47:16,670] - Script::install_py_dlls(): PyInit__elementtree
 DEBUG root [2018-05-21 15:47:16,717] - Script::install_py_dlls(): PyInit_unicodedata
  INFO root [2018-05-21 15:47:16,754] - Script::install(): is successfully, Python=(3.4.2 (default, May 15 2018, 15:51:04) [MSC v.1900 32 bit (Intel)])!
  INFO root [2018-05-21 15:47:16,754] - Script::install(): KBExtra is successfully!
 DEBUG root [2018-05-21 15:47:17,319] - ClientSDK::writeServerErrorDescrsModule(): ..\..\client\Assets\Scripts\Net//ServerErrorDescrs.cs
 DEBUG root [2018-05-21 15:47:17,320] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/ServerErrorDescrs.cs
 DEBUG root [2018-05-21 15:47:17,331] - ClientSDK::writeEngineMessagesModule(): ..\..\client\Assets\Scripts\Net//Messages.cs
 DEBUG root [2018-05-21 15:47:17,335] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/Messages.cs
 DEBUG root [2018-05-21 15:47:17,353] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/KBETypes.cs
 DEBUG root [2018-05-21 15:47:17,364] - ClientSDK::writeEntityDefsModule(): ..\..\client\Assets\Scripts\Net//EntityDef.cs
 DEBUG root [2018-05-21 15:47:17,366] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityDef.cs
 DEBUG root [2018-05-21 15:47:17,382] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/CustomDataTypes.cs
 DEBUG root [2018-05-21 15:47:17,397] - ClientSDK::writeEntityModule(): ..\..\client\Assets\Scripts\Net//Account
 DEBUG root [2018-05-21 15:47:17,399] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/AccountBase.cs
 DEBUG root [2018-05-21 15:47:17,408] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityCallAccountBase.cs
 DEBUG root [2018-05-21 15:47:17,413] - ClientSDK::writeEntityModule(): ..\..\client\Assets\Scripts\Net//Chess
 DEBUG root [2018-05-21 15:47:17,414] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/ChessBase.cs
 DEBUG root [2018-05-21 15:47:17,423] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityCallChessBase.cs
 DEBUG root [2018-05-21 15:47:17,424] - ClientSDK::writeEntityModule(): ..\..\client\Assets\Scripts\Net//NormalFB
 DEBUG root [2018-05-21 15:47:17,425] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/NormalFBBase.cs
 DEBUG root [2018-05-21 15:47:17,436] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityCallNormalFBBase.cs
 DEBUG root [2018-05-21 15:47:17,452] - Script::uninstall_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-05-21 15:47:17,452] - Script::uninstall_py_dlls(): PyInit__socket
 DEBUG root [2018-05-21 15:47:17,452] - Script::uninstall_py_dlls(): PyInit__ssl
 DEBUG root [2018-05-21 15:47:17,452] - Script::uninstall_py_dlls(): PyInit__hashlib
 DEBUG root [2018-05-21 15:47:17,452] - Script::uninstall_py_dlls(): PyInit_select
